NHI,preferredName,dateOfBirth,eMail,phone,preferredContactMethod
ACF0260,Santa  ,1966-02-09,ACF0260@havemydata.nz,8020268,phone
ACZ0264,Susann  ,1947-04-24,ACZ0264@havemydata.nz,8450272,text
ACP0268,Shan  ,1924-08-24,ACP0268@havemydata.nz,7080276,text
ACM0272,Marietta  ,1940-09-17,ACM0272@havemydata.nz,7440280,phone
ACC0276,Zita  ,1980-01-13,ACC0276@havemydata.nz,8840284,email
ACY0280,Dorethea  ,1969-07-30,ACY0280@havemydata.nz,6520288,phone
ACS0284,Kenya  ,1984-02-28,ACS0284@havemydata.nz,8740292,text
ACF0288,Angila  ,1976-04-06,ACF0288@havemydata.nz,7410296,phone
ACH0292,Brock  ,1957-10-19,ACH0292@havemydata.nz,8280300,phone
ACV0296,Emogene  ,1966-12-26,ACV0296@havemydata.nz,7110304,phone
ACE0300,Kenya  ,1936-10-20,ACE0300@havemydata.nz,6690308,phone
ACD0304,Carol  ,1985-05-01,ACD0304@havemydata.nz,8220312,email
ADZ0308,Clora  ,1933-05-05,ADZ0308@havemydata.nz,7060316,phone
ADX0312,Ivana  ,1917-03-18,ADX0312@havemydata.nz,7920320,phone
ADX0316,Susann  ,1914-09-26,ADX0316@havemydata.nz,8720324,text
ADO0320,Ivana  ,1923-05-12,ADO0320@havemydata.nz,8930328,text
ADP0324,Lilla  ,1923-12-21,ADP0324@havemydata.nz,6850332,text
ADR0328,Larraine  ,1949-11-30,ADR0328@havemydata.nz,7940336,text
ADD0332,Kenya  ,1981-09-06,ADD0332@havemydata.nz,7030340,text
ADG0336,Emogene  ,1966-09-08,ADG0336@havemydata.nz,8160344,phone
ADB0340,Man  ,1914-06-06,ADB0340@havemydata.nz,8750348,text
ADU0344,Jesica  ,1981-03-15,ADU0344@havemydata.nz,8620352,text
ADX0348,Kenya  ,1960-12-19,ADX0348@havemydata.nz,7110356,phone
ADR0352,Sondra  ,1935-02-17,ADR0352@havemydata.nz,7220360,text
ADU0356,Sondra  ,1982-02-27,ADU0356@havemydata.nz,7820364,phone
ADW0360,Zita  ,1983-10-09,ADW0360@havemydata.nz,8390368,phone
ADE0364,Bea  ,1960-04-21,ADE0364@havemydata.nz,7660372,email
ADR0368,Sondra  ,1949-02-19,ADR0368@havemydata.nz,8580376,phone
ADX0372,Tammara  ,1940-04-30,ADX0372@havemydata.nz,6770380,text
ADX0376,Shan  ,1919-07-28,ADX0376@havemydata.nz,7110384,phone
ADQ0380,Kenya  ,1931-10-28,ADQ0380@havemydata.nz,7420388,text
ADV0384,Ivana  ,1976-02-10,ADV0384@havemydata.nz,8160392,phone
ADA0388,Carter  ,1920-07-06,ADA0388@havemydata.nz,6640396,phone
ADY0392,Todd  ,1985-12-19,ADY0392@havemydata.nz,8890400,text
ADY0396,Santa  ,1958-01-25,ADY0396@havemydata.nz,7710404,text
ADO0400,Fredda  ,1971-01-17,ADO0400@havemydata.nz,7460408,phone
ADG0404,Larraine  ,1956-06-14,ADG0404@havemydata.nz,7570412,phone
ADC0408,Ivana  ,1952-03-29,ADC0408@havemydata.nz,6790416,phone
AEO0412,Delorse  ,1975-09-29,AEO0412@havemydata.nz,7990420,text
AEH0416,Clora  ,1915-11-02,AEH0416@havemydata.nz,8720424,phone
AEU0420,Larraine  ,1951-05-14,AEU0420@havemydata.nz,8060428,phone
AET0424,Mae  ,1925-03-08,AET0424@havemydata.nz,9030432,text
AEH0428,Kenya  ,1987-07-29,AEH0428@havemydata.nz,7920436,text
AEM0432,Shanell  ,1913-05-18,AEM0432@havemydata.nz,7090440,text
AEO0436,Delorse  ,1934-05-20,AEO0436@havemydata.nz,6970444,text
AEP0440,Cherie  ,1969-01-18,AEP0440@havemydata.nz,9060448,phone
AEH0444,Tammara  ,1975-01-27,AEH0444@havemydata.nz,8930452,text
AED0448,Andera  ,1932-05-04,AED0448@havemydata.nz,7910456,phone
AEC0452,Era  ,1971-01-10,AEC0452@havemydata.nz,8390460,phone
AEC0456,Lilla  ,1929-06-04,AEC0456@havemydata.nz,7270464,text
AEZ0460,Tammara  ,1943-01-08,AEZ0460@havemydata.nz,7560468,phone
AED0464,Angila  ,1963-03-22,AED0464@havemydata.nz,8770472,phone
AEK0468,Andera  ,1944-01-07,AEK0468@havemydata.nz,7350476,text
AEK0472,Kenna  ,1942-06-24,AEK0472@havemydata.nz,8480480,text
AEB0476,Angila  ,1949-01-03,AEB0476@havemydata.nz,8020484,text
AER0480,Lilla  ,1940-11-09,AER0480@havemydata.nz,7650488,text
AEQ0484,Mae  ,1949-03-18,AEQ0484@havemydata.nz,8440492,phone
AEH0488,Era  ,1923-10-11,AEH0488@havemydata.nz,7160496,phone
AEW0492,Susann  ,1929-09-14,AEW0492@havemydata.nz,6720500,email
AEA0496,Santa  ,1968-05-01,AEA0496@havemydata.nz,8140504,text
AEG0500,Brock  ,1919-01-27,AEG0500@havemydata.nz,7710508,text
AEW0504,Sondra  ,1948-07-12,AEW0504@havemydata.nz,6810512,text
AEF0508,Mae  ,1930-05-28,AEF0508@havemydata.nz,7760516,text
AER0512,Carter  ,1964-03-19,AER0512@havemydata.nz,7590520,phone
AFY0516,Ivana  ,1926-06-20,AFY0516@havemydata.nz,6810524,text
AFM0520,Zita  ,1948-07-11,AFM0520@havemydata.nz,7010528,email
AFG0524,Man  ,1933-06-30,AFG0524@havemydata.nz,7770532,phone
AFP0528,Naomi  ,1916-06-30,AFP0528@havemydata.nz,8330536,text
AFT0532,Judi  ,1927-05-14,AFT0532@havemydata.nz,9090540,phone
AFF0536,Andera  ,1949-10-31,AFF0536@havemydata.nz,7740544,phone
AFB0540,Brock  ,1937-08-06,AFB0540@havemydata.nz,7740548,phone
AFK0544,Lilla  ,1916-02-06,AFK0544@havemydata.nz,8070552,phone
AFF0548,Kenna  ,1922-11-22,AFF0548@havemydata.nz,7740556,text
AFA0552,Angila  ,1914-04-29,AFA0552@havemydata.nz,8140560,text
AFC0556,Fredda  ,1964-03-15,AFC0556@havemydata.nz,6940564,text
AFN0560,Shanell  ,1948-04-20,AFN0560@havemydata.nz,7090568,text
AFA0564,Jesica  ,1945-04-05,AFA0564@havemydata.nz,7970572,phone
AFK0568,Mae  ,1986-08-28,AFK0568@havemydata.nz,7940576,text
AFY0572,Angila  ,1941-09-02,AFY0572@havemydata.nz,7760580,text
AFI0576,Mae  ,1935-03-04,AFI0576@havemydata.nz,7640584,phone
AFO0580,Kenna  ,1977-05-20,AFO0580@havemydata.nz,6710588,text
AFZ0584,Era  ,1987-04-03,AFZ0584@havemydata.nz,7440592,text
AFY0588,Jan  ,1917-05-27,AFY0588@havemydata.nz,8010596,text
AFH0592,Lilla  ,1951-05-25,AFH0592@havemydata.nz,8770600,text
AFI0596,Glennie  ,1912-08-23,AFI0596@havemydata.nz,7020604,email
AFK0600,Emogene  ,1985-11-12,AFK0600@havemydata.nz,7770608,text
AFF0604,Brigid  ,1976-08-19,AFF0604@havemydata.nz,7630612,text
AFO0608,Yelena  ,1985-07-10,AFO0608@havemydata.nz,7450616,phone
AFD0612,Brigid  ,1966-07-07,AFD0612@havemydata.nz,6710620,email
AFB0616,Venetta  ,1911-12-10,AFB0616@havemydata.nz,8860624,phone
AGL0620,Clora  ,1932-10-20,AGL0620@havemydata.nz,8180628,email
AGM0624,Todd  ,1916-11-22,AGM0624@havemydata.nz,8020632,email
AGX0628,Tyron  ,1976-07-20,AGX0628@havemydata.nz,7620636,text
AGH0632,Marietta  ,1941-07-06,AGH0632@havemydata.nz,6770640,phone
AGN0636,Kenna  ,1945-11-25,AGN0636@havemydata.nz,7510644,phone
AGN0640,Shan  ,1972-01-20,AGN0640@havemydata.nz,6520648,text
AGO0644,Salome  ,1928-09-10,AGO0644@havemydata.nz,8740652,text
AGP0648,Todd  ,1960-07-13,AGP0648@havemydata.nz,7890656,phone
AGE0652,Nakisha  ,1976-02-11,AGE0652@havemydata.nz,6580660,email
AGI0656,Yelena  ,1913-01-08,AGI0656@havemydata.nz,8390664,phone
AGS0660,Yelena  ,1915-07-26,AGS0660@havemydata.nz,7130668,text
AGW0664,Lilla  ,1979-07-24,AGW0664@havemydata.nz,6530672,text
AGA0668,Delorse  ,1948-05-12,AGA0668@havemydata.nz,7980676,phone
AGX0672,Brigid  ,1960-09-02,AGX0672@havemydata.nz,7180680,text
AGI0676,Ivana  ,1971-09-29,AGI0676@havemydata.nz,7990684,phone
AGQ0680,Era  ,1950-09-16,AGQ0680@havemydata.nz,7490688,phone
AGB0684,Cherie  ,1962-02-05,AGB0684@havemydata.nz,8750692,phone
AGQ0688,Glennie  ,1962-04-10,AGQ0688@havemydata.nz,7920696,text
AGM0692,Latosha  ,1937-08-19,AGM0692@havemydata.nz,8220700,text
AGP0696,Judi  ,1950-06-06,AGP0696@havemydata.nz,6630704,text
AGW0700,Kenna  ,1920-08-20,AGW0700@havemydata.nz,7640708,email
AGK0704,Judi  ,1939-02-01,AGK0704@havemydata.nz,8030712,phone
AGK0708,Andera  ,1970-01-07,AGK0708@havemydata.nz,9060716,phone
AGO0712,Shanell  ,1975-09-30,AGO0712@havemydata.nz,6540720,phone
AGE0716,Emogene  ,1969-01-13,AGE0716@havemydata.nz,8240724,phone
AGJ0720,Zita  ,1913-11-23,AGJ0720@havemydata.nz,8410728,text
AHQ0724,Elma  ,1987-03-18,AHQ0724@havemydata.nz,9040732,phone
AHG0728,Brock  ,1913-04-05,AHG0728@havemydata.nz,6970736,email
AHG0732,Salome  ,1974-06-12,AHG0732@havemydata.nz,8360740,phone
AHA0736,Jesica  ,1951-05-15,AHA0736@havemydata.nz,6560744,phone
AHV0740,Daisey  ,1933-11-06,AHV0740@havemydata.nz,6670748,phone
AHW0744,Jesica  ,1967-11-28,AHW0744@havemydata.nz,8890752,phone
AHG0748,Max  ,1924-11-27,AHG0748@havemydata.nz,7970756,phone
AHP0752,Todd  ,1914-06-23,AHP0752@havemydata.nz,7050760,phone
AHG0756,Lilla  ,1927-07-02,AHG0756@havemydata.nz,6750764,text
AHT0760,Lilla  ,1975-12-20,AHT0760@havemydata.nz,7710768,text
AHC0764,Shan  ,1918-11-17,AHC0764@havemydata.nz,6570772,phone
AHB0768,Santa  ,1949-01-29,AHB0768@havemydata.nz,7150776,text
AHM0772,Maxwell  ,1917-10-24,AHM0772@havemydata.nz,8320780,text
AHH0776,Josephina  ,1984-04-11,AHH0776@havemydata.nz,8690784,text
AHZ0780,Zita  ,1925-01-09,AHZ0780@havemydata.nz,8290788,phone
AHT0784,Tammara  ,1937-01-31,AHT0784@havemydata.nz,6550792,text
AHQ0788,Glennie  ,1985-08-21,AHQ0788@havemydata.nz,9090796,phone
AHO0792,Shanell  ,1973-09-17,AHO0792@havemydata.nz,8140800,phone
AHA0796,Gena  ,1967-10-01,AHA0796@havemydata.nz,8430804,text
AHQ0800,Larraine  ,1971-03-07,AHQ0800@havemydata.nz,8160808,text
AHI0804,Ivana  ,1911-10-17,AHI0804@havemydata.nz,7760812,phone
AHX0808,Josephina  ,1915-09-05,AHX0808@havemydata.nz,6970816,text
AHC0812,Man  ,1970-05-04,AHC0812@havemydata.nz,8350820,phone
AHK0816,Sondra  ,1931-04-11,AHK0816@havemydata.nz,8050824,phone
AHT0820,Todd  ,1957-12-26,AHT0820@havemydata.nz,8290828,text
AHT0824,Daisey  ,1945-07-10,AHT0824@havemydata.nz,7950832,text
AIM0828,Emogene  ,1974-03-24,AIM0828@havemydata.nz,8390836,phone
AIB0832,Tammara  ,1925-10-11,AIB0832@havemydata.nz,6780840,text
AIO0836,Leora  ,1960-04-29,AIO0836@havemydata.nz,8720844,text
AIZ0840,Glennie  ,1943-07-16,AIZ0840@havemydata.nz,8170848,text
AIG0844,Tammara  ,1915-07-29,AIG0844@havemydata.nz,8660852,text
AIT0848,Gena  ,1921-07-17,AIT0848@havemydata.nz,8280856,text
AIN0852,Brock  ,1979-08-05,AIN0852@havemydata.nz,6990860,phone
AIA0856,Carter  ,1955-03-21,AIA0856@havemydata.nz,7380864,email
AIC0860,Larraine  ,1911-12-27,AIC0860@havemydata.nz,7860868,phone
AIY0864,Sondra  ,1976-03-29,AIY0864@havemydata.nz,7940872,text
AIX0868,Gena  ,1971-11-18,AIX0868@havemydata.nz,8010876,text
AIG0872,Dorethea  ,1959-04-18,AIG0872@havemydata.nz,9050880,phone
AIM0876,Salome  ,1911-11-06,AIM0876@havemydata.nz,8950884,email
AIP0880,Todd  ,1928-06-08,AIP0880@havemydata.nz,7590888,text
AIR0884,Kenna  ,1912-06-18,AIR0884@havemydata.nz,8810892,text
AIH0888,Glennie  ,1980-10-04,AIH0888@havemydata.nz,7850896,phone
AIX0892,Shanell  ,1965-01-20,AIX0892@havemydata.nz,8070900,text
AIZ0896,Marietta  ,1969-01-19,AIZ0896@havemydata.nz,7290904,phone
AIY0900,Maxwell  ,1926-03-13,AIY0900@havemydata.nz,7860908,phone
AIB0904,Tyron  ,1981-06-09,AIB0904@havemydata.nz,7910912,phone
AIC0908,Santa  ,1941-09-08,AIC0908@havemydata.nz,7010916,text
AIT0912,Yelena  ,1924-08-04,AIT0912@havemydata.nz,8750920,phone
AIB0916,Maxwell  ,1971-06-28,AIB0916@havemydata.nz,7190924,phone
AIP0920,Shanell  ,1929-06-23,AIP0920@havemydata.nz,8040928,text
AIV0924,Helen  ,1966-04-04,AIV0924@havemydata.nz,7130932,phone
AIR0928,Gena  ,1977-08-22,AIR0928@havemydata.nz,8770936,phone
AJM0932,Brigid  ,1986-05-03,AJM0932@havemydata.nz,8020940,phone
AJS0936,Kenya  ,1984-12-29,AJS0936@havemydata.nz,8360944,text
AJG0940,Shanell  ,1948-03-06,AJG0940@havemydata.nz,7180948,email
AJP0944,Ivana  ,1942-10-05,AJP0944@havemydata.nz,7060952,phone
AJJ0948,Mae  ,1942-02-20,AJJ0948@havemydata.nz,7910956,text
AJO0952,Emogene  ,1912-05-08,AJO0952@havemydata.nz,8580960,phone
AJB0956,Andera  ,1970-05-15,AJB0956@havemydata.nz,7630964,text
AJY0960,Dorethea  ,1935-07-02,AJY0960@havemydata.nz,8060968,phone
AJW0964,Cherie  ,1928-12-03,AJW0964@havemydata.nz,8240972,phone
AJH0968,Delorse  ,1972-01-03,AJH0968@havemydata.nz,7620976,text
AJM0972,Josephina  ,1918-01-31,AJM0972@havemydata.nz,8450980,phone
AJT0976,Elma  ,1946-10-21,AJT0976@havemydata.nz,6550984,phone
AJV0980,Naomi  ,1977-11-07,AJV0980@havemydata.nz,7570988,text
AJL0984,Shan  ,1967-04-30,AJL0984@havemydata.nz,7920992,phone
AJS0988,Ivana  ,1973-10-18,AJS0988@havemydata.nz,7230996,text
AJY0992,Man  ,1960-05-14,AJY0992@havemydata.nz,8221000,text
AJK0996,Max  ,1938-08-04,AJK0996@havemydata.nz,6651004,phone
AJG1000,Tammara  ,1934-02-12,AJG1000@havemydata.nz,8081008,text
AJK1004,Shan  ,1946-06-21,AJK1004@havemydata.nz,6751012,phone
AJX1008,Sondra  ,1915-07-30,AJX1008@havemydata.nz,8531016,text
AJC1012,Yelena  ,1956-07-10,AJC1012@havemydata.nz,6791020,phone
AJM1016,Man  ,1919-05-21,AJM1016@havemydata.nz,6711024,text
AJM1020,Maxwell  ,1982-03-05,AJM1020@havemydata.nz,6911028,text
AJD1024,Shanell  ,1982-10-28,AJD1024@havemydata.nz,6731032,phone
AJX1028,Josephina  ,1952-12-27,AJX1028@havemydata.nz,6891036,email
AJE1032,Delorse  ,1912-01-16,AJE1032@havemydata.nz,7551040,text
AKH1036,Salome  ,1985-08-24,AKH1036@havemydata.nz,7541044,phone
AKF1040,Nakisha  ,1941-12-26,AKF1040@havemydata.nz,6751048,phone
AKX1044,Delorse  ,1945-04-12,AKX1044@havemydata.nz,8741052,text
AKH1048,Elma  ,1931-12-13,AKH1048@havemydata.nz,7451056,text
AKM1052,Tammara  ,1944-08-05,AKM1052@havemydata.nz,7471060,text
AKH1056,Salome  ,1939-02-15,AKH1056@havemydata.nz,6911064,text
AKM1060,Santa  ,1970-01-04,AKM1060@havemydata.nz,7081068,phone
AKF1064,Brigid  ,1931-08-08,AKF1064@havemydata.nz,6621072,text
AKE1068,Naomi  ,1917-04-25,AKE1068@havemydata.nz,8971076,phone
AKZ1072,Shanell  ,1970-03-30,AKZ1072@havemydata.nz,7131080,text
AKW1076,Man  ,1964-03-28,AKW1076@havemydata.nz,6651084,phone
AKL1080,Venetta  ,1982-11-06,AKL1080@havemydata.nz,8111088,text
AKI1084,Max  ,1986-07-05,AKI1084@havemydata.nz,8031092,phone
AKK1088,Tyron  ,1948-05-30,AKK1088@havemydata.nz,7651096,phone
AKG1092,Andera  ,1940-12-02,AKG1092@havemydata.nz,9091100,text
AKG1096,Clora  ,1928-01-15,AKG1096@havemydata.nz,8581104,phone
AKE1100,Larraine  ,1940-09-02,AKE1100@havemydata.nz,7311108,phone
AKM1104,Judi  ,1952-10-20,AKM1104@havemydata.nz,6511112,phone
AKY1108,Salome  ,1959-09-27,AKY1108@havemydata.nz,7321116,phone
AKT1112,Santa  ,1977-09-15,AKT1112@havemydata.nz,8861120,text
AKN1116,Marietta  ,1927-09-14,AKN1116@havemydata.nz,7431124,text
AKI1120,Tyron  ,1920-02-18,AKI1120@havemydata.nz,8841128,text
AKB1124,Era  ,1957-09-16,AKB1124@havemydata.nz,8171132,text
AKI1128,Gena  ,1958-01-13,AKI1128@havemydata.nz,7311136,email
AKS1132,Sondra  ,1981-10-26,AKS1132@havemydata.nz,7761140,text
AKV1136,Man  ,1984-12-16,AKV1136@havemydata.nz,7711144,phone
ALB1140,Marietta  ,1964-06-01,ALB1140@havemydata.nz,9011148,text
ALZ1144,Tammara  ,1929-12-30,ALZ1144@havemydata.nz,8911152,phone
ALN1148,Santa  ,1947-12-16,ALN1148@havemydata.nz,8371156,text
ALI1152,Andera  ,1927-11-06,ALI1152@havemydata.nz,9081160,phone
ALR1156,Emogene  ,1921-04-07,ALR1156@havemydata.nz,8171164,phone
ALM1160,Sondra  ,1945-01-05,ALM1160@havemydata.nz,6941168,phone
ALM1164,Maxwell  ,1984-11-11,ALM1164@havemydata.nz,8631172,phone
ALV1168,Dorethea  ,1938-08-20,ALV1168@havemydata.nz,6961176,text
ALB1172,Jan  ,1973-12-08,ALB1172@havemydata.nz,7821180,text
ALJ1176,Sondra  ,1922-08-02,ALJ1176@havemydata.nz,7081184,text
ALG1180,Lilla  ,1973-11-20,ALG1180@havemydata.nz,8971188,phone
ALQ1184,Nakisha  ,1982-12-29,ALQ1184@havemydata.nz,8991192,phone
ALO1188,Max  ,1959-06-06,ALO1188@havemydata.nz,6791196,phone
ALP1192,Judi  ,1932-01-12,ALP1192@havemydata.nz,7471200,text
ALN1196,Zita  ,1955-05-26,ALN1196@havemydata.nz,6761204,phone
ALL1200,Susann  ,1959-11-11,ALL1200@havemydata.nz,6751208,text
ALY1204,Clora  ,1936-08-13,ALY1204@havemydata.nz,8741212,phone
ALC1208,Naomi  ,1918-05-14,ALC1208@havemydata.nz,6891216,text
ALS1212,Era  ,1914-08-16,ALS1212@havemydata.nz,8481220,email
ALP1216,Gena  ,1967-01-29,ALP1216@havemydata.nz,6541224,text
ALL1220,Daisey  ,1982-06-04,ALL1220@havemydata.nz,6781228,phone
ALZ1224,Bea  ,1944-06-17,ALZ1224@havemydata.nz,7851232,phone
ALX1228,Tyron  ,1928-10-01,ALX1228@havemydata.nz,7061236,phone
ALY1232,Kenna  ,1976-12-31,ALY1232@havemydata.nz,8821240,phone
ALU1236,Kenya  ,1919-01-20,ALU1236@havemydata.nz,7181244,text
ALX1240,Brock  ,1959-10-05,ALX1240@havemydata.nz,7891248,text
AMR1244,Delorse  ,1923-01-17,AMR1244@havemydata.nz,7671252,phone
AMO1248,Nakisha  ,1987-08-28,AMO1248@havemydata.nz,7371256,text
AMS1252,Gena  ,1926-02-08,AMS1252@havemydata.nz,8451260,phone
AMQ1256,Naomi  ,1948-04-29,AMQ1256@havemydata.nz,8831264,phone
AMO1260,Brock  ,1912-01-03,AMO1260@havemydata.nz,6581268,phone
AMB1264,Leora  ,1956-04-24,AMB1264@havemydata.nz,8461272,phone
AMT1268,Todd  ,1949-06-12,AMT1268@havemydata.nz,8571276,phone
AMK1272,Fredda  ,1970-12-17,AMK1272@havemydata.nz,7341280,text
AMH1276,Marietta  ,1963-06-17,AMH1276@havemydata.nz,8421284,text
AMX1280,Clora  ,1943-04-02,AMX1280@havemydata.nz,8011288,text
AMG1284,Elma  ,1912-01-16,AMG1284@havemydata.nz,8781292,phone
AMW1288,Clora  ,1956-10-02,AMW1288@havemydata.nz,7931296,phone
AMA1292,Jan  ,1959-02-18,AMA1292@havemydata.nz,8591300,phone
AMO1296,Elma  ,1942-10-22,AMO1296@havemydata.nz,8921304,text
AMG1300,Clora  ,1939-08-06,AMG1300@havemydata.nz,7771308,phone
AMW1304,Max  ,1963-10-23,AMW1304@havemydata.nz,8451312,phone
AMY1308,Latosha  ,1919-04-02,AMY1308@havemydata.nz,8331316,phone
AMO1312,Susann  ,1929-02-21,AMO1312@havemydata.nz,7691320,email
AMO1316,Salome  ,1934-11-17,AMO1316@havemydata.nz,7051324,text
AMI1320,Yelena  ,1920-05-31,AMI1320@havemydata.nz,8641328,text
AMG1324,Max  ,1980-07-20,AMG1324@havemydata.nz,8521332,text
AMB1328,Larraine  ,1961-01-24,AMB1328@havemydata.nz,8611336,phone
AMG1332,Zita  ,1959-03-21,AMG1332@havemydata.nz,8831340,text
AMO1336,Ivana  ,1928-12-26,AMO1336@havemydata.nz,8071344,phone
AMF1340,Nakisha  ,1971-08-14,AMF1340@havemydata.nz,7751348,phone
AMK1344,Tyron  ,1971-03-05,AMK1344@havemydata.nz,7911352,phone
ANJ1348,Andera  ,1917-01-07,ANJ1348@havemydata.nz,8281356,text
ANC1352,Bea  ,1959-11-17,ANC1352@havemydata.nz,7611360,email
ANB1356,Judi  ,1939-10-17,ANB1356@havemydata.nz,8781364,phone
ANY1360,Angila  ,1974-09-11,ANY1360@havemydata.nz,7021368,text
ANH1364,Andera  ,1918-08-11,ANH1364@havemydata.nz,6611372,text
ANO1368,Brigid  ,1935-04-25,ANO1368@havemydata.nz,7551376,phone
ANK1372,Era  ,1922-02-12,ANK1372@havemydata.nz,7181380,phone
ANX1376,Todd  ,1933-02-21,ANX1376@havemydata.nz,6851384,phone
ANS1380,Helen  ,1947-03-11,ANS1380@havemydata.nz,7311388,text
ANR1384,Man  ,1953-06-01,ANR1384@havemydata.nz,7081392,text
