"VER19","Vernon Mcgee","2171 Mnmcgee Road","RD14","Waimate","Vernon Mcgee","(03)429-3306","(021)822-9878","Vernon.Mcgee@emailProvide.co.nz","64"
"BIA84","Bianca Foster","913 Fiancaf Road","RD12","Timaru","Bianca Foster","(03)435-0867","(021)656-6917","Bianca.Foster@emailProvide.co.nz","65"
"ADE85","Adena Rich","4150 Rdenari Road","RD11","Timaru","Adena Rich","(03)475-1010","(021)109-8042","Adena.Rich@emailProvide.co.nz","69"
"ROA87","Roary Gillespie","1199 Grygill Road","RD8","Oamaru","Roary Gillespie","(03)290-3736","(021)530-2849","Roary.Gillespie@emailProvide.co.nz","54"
"VAL46","Valenzuela Farms","2415 Vnzuela Road","RD12","Timaru","Clinton Valenzuela","(03)221-6872","(021)400-9607","Valenzuela.Farms@emailProvide.co.nz","46"
"BRI76","Bright Farms","2679 Bightfa Road","RD10","Oamaru","Tanya Bright","(03)489-4659","(021)554-4681","Bright.Farms@emailProvide.co.nz","74"
"MAR82","Marks Farms","2781 Mksfa Road","RD11","Oamaru","Jescie Marks","(03)487-6821","(021)894-1904","Marks.Farms@emailProvide.co.nz","73"
"AYA18","Ayala Farms","1947 Aalafa Road","RD6","Oamaru","Remedios Ayala","(03)095-9008","(021)285-8981","Ayala.Farms@emailProvide.co.nz","40"
"BAR49","Barclay Barr","2089 Bclayb Road","RD5","Waimate","Barclay Barr","(03)802-7225","(021)745-2142","Barclay.Barr@emailProvide.co.nz","N
"EVE64","Everett Farms","653 Erettfarm Road","RD12","Waimate","Maxine Everett","(03)559-9273","(021)911-6160","Everett.Farms@emailProvide.co.nz","N
"DAN83","Daniel Farms","4250 Dielfa Road","RD7","Oamaru","Geraldine Daniel","(03)164-8667","(021)241-5183","Daniel.Farms@emailProvide.co.nz","42"
"GER44","Germane Blackburn","3046 Brmane Road","RD15","Ashburton","Germane Blackburn","(03)527-0752","(021)608-1879","Germane.Blackburn@emailProvide.co.nz","85"
"BAR45","Barrett Fuller","3421 Frrettf Road","RD8","Oamaru","Barrett Fuller","(03)886-8586","(021)286-6582","Barrett.Fuller@emailProvide.co.nz","N
"KYL15","Kylynn Trading","953 Slynntr Road","RD12","Oamaru","Kylynn Santos","(03)033-2516","(021)760-4269","Kylynn.Trading@emailProvide.co.nz","34"
"CEC74","Cecilia Trading","2439 Ailiat Road","RD12","Waimate","Cecilia Alexander","(03)092-1449","(021)139-1323","Cecilia.Trading@emailProvide.co.nz","37"
"AIK33","Aiko Swanson","840 Sswanso Road","RD9","Oamaru","Aiko Swanson","(03)226-7194","(021)310-3802","Aiko.Swanson@emailProvide.co.nz","49"
"HAN72","Hanna Collier","4500 Ccollier Road","RD9","Waimate","Hanna Collier","(03)762-0483","(021)576-1295","Hanna.Collier@emailProvide.co.nz","N
"SAM65","Samson Pollard","2039 Pnpoll Road","RD15","Ashburton","Samson Pollard","(03)946-9385","(021)783-7149","Samson.Pollard@emailProvide.co.nz","N
"CAR58","Carr Farms","4404 Cfarms Road","RD6","Timaru","Xenos Carr","(03)197-5936","(021)320-9170","Carr.Farms@emailProvide.co.nz","43"
"HAR50","Hardin Farms","491 Hdinfa Road","RD10","Oamaru","Lani Hardin","(03)525-1909","(021)571-7599","Hardin.Farms@emailProvide.co.nz","84"
"JUL45","Juliet Hayes","4215 Hetha Road","RD13","Oamaru","Juliet Hayes","(03)535-8097","(021)961-7593","Juliet.Hayes@emailProvide.co.nz","86"
"BRO56","Brody Stanley","4381 Sdystanley Road","RD5","Timaru","Brody Stanley","(03)476-7728","(021)266-5114","Brody.Stanley@emailProvide.co.nz","70"
"FIT70","Fitzpatrick Farms","4528 Fpatrickf Road","RD4","Timaru","Ferris Fitzpatrick","(03)634-4400","(021)321-2800","Fitzpatrick.Farms@emailProvide.co.nz","N
"GRA33","Grady Blevins","1814 Byble Road","RD12","Oamaru","Grady Blevins","(03)883-3196","(021)253-9109","Grady.Blevins@emailProvide.co.nz","N
"HER18","Hermione Compton","1839 Conecompto Road","RD6","Waimate","Hermione Compton","(03)094-7221","(021)630-8131","Hermione.Compton@emailProvide.co.nz","38"
"BUR94","Burch Farms","3685 Burchfar Road","RD4","Oamaru","Dana Burch","(03)099-8020","(021)524-7117","Burch.Farms@emailProvide.co.nz","41"
"GAN56","Gannon Trading","3361 Bnnontradi Road","RD7","Oamaru","Gannon Battle","(03)358-7914","(021)710-1279","Gannon.Trading@emailProvide.co.nz","57"
"BRE87","Brent Ramirez","2177 Rntrami Road","RD12","Timaru","Brent Ramirez","(03)358-8312","(021)353-3396","Brent.Ramirez@emailProvide.co.nz","58"
"KIR77","Kirk Cameron","3507 Ckcamer Road","RD4","Timaru","Kirk Cameron","(03)015-1740","(021)799-3340","Kirk.Cameron@emailProvide.co.nz","32"
